Year,State,"Poverty Percent, Age 5-17 in Families",Median Household Income
2015,Alabama,25.2,"44,833"
2015,Alaska,13.3,"73,391"
2015,Arizona,23.5,"51,473"
2015,Arkansas,24.5,"42,046"
2015,California,20.3,"64,483"
2015,Colorado,13.6,"63,945"
2015,Connecticut,13.6,"71,333"
2015,Delaware,17.9,"61,327"
2015,District of Columbia,29.3,"73,115"
2015,Florida,22,"49,416"
2015,Georgia,23.6,"51,225"
2015,Hawaii,13.4,"73,097"
2015,Idaho,15.9,"48,311"
2015,Illinois,17.9,"59,590"
2015,Indiana,18.8,"50,510"
2015,Iowa,13.7,"54,843"
2015,Kansas,15.3,"53,802"
2015,Kentucky,23.8,"45,178"
2015,Louisiana,26.7,"45,829"
2015,Maine,16,"51,419"
2015,Maryland,12.8,"75,784"
2015,Massachusetts,13.9,"70,659"
2015,Michigan,20.8,"51,063"
2015,Minnesota,12.1,"63,459"
2015,Mississippi,30.1,"40,630"
2015,Missouri,18.9,"50,200"
2015,Montana,16.8,"49,650"
2015,Nebraska,14.4,"55,073"
2015,Nevada,20.1,"52,544"
2015,New Hampshire,9.8,"70,003"
2015,New Jersey,14.6,"72,337"
2015,New Mexico,25.6,"45,524"
2015,New York,21.3,"60,805"
2015,North Carolina,21.9,"47,884"
2015,North Dakota,10.5,"61,674"
2015,Ohio,19.3,"51,086"
2015,Oklahoma,20.4,"48,595"
2015,Oregon,18.1,"54,074"
2015,Pennsylvania,17.9,"55,683"
2015,Rhode Island,19.3,"57,265"
2015,South Carolina,23.5,"47,308"
2015,South Dakota,16,"53,263"
2015,Tennessee,22.4,"47,243"
2015,Texas,21.9,"55,668"
2015,Utah,11.5,"62,961"
2015,Vermont,12.2,"56,883"
2015,Virginia,14,"66,263"
2015,Washington,14.6,"64,080"
2015,West Virginia,22.9,"41,969"
2015,Wisconsin,14.9,"55,623"
2015,Wyoming,11.2,"61,213"
