Year,State,"Poverty Percent, Age 5-17 in Families",Median Household Income
2017,Alabama,22.8,"48,193"
2017,Alaska,13.3,"74,058"
2017,Arizona,19.7,"56,508"
2017,Arkansas,21.2,"45,916"
2017,California,17.4,"71,785"
2017,Colorado,11.4,"69,113"
2017,Connecticut,12.3,"74,428"
2017,Delaware,16,"64,085"
2017,District of Columbia,26,"80,153"
2017,Florida,19.6,"52,582"
2017,Georgia,20.3,"56,117"
2017,Hawaii,10.7,"77,936"
2017,Idaho,13.3,"52,280"
2017,Illinois,16,"63,044"
2017,Indiana,16.3,"54,134"
2017,Iowa,10.9,"58,706"
2017,Kansas,13.4,"56,382"
2017,Kentucky,20.6,"48,332"
2017,Louisiana,26,"46,283"
2017,Maine,13.1,"55,980"
2017,Maryland,11.6,"80,711"
2017,Massachusetts,12.7,"77,385"
2017,Michigan,17.7,"54,840"
2017,Minnesota,10.8,"68,364"
2017,Mississippi,27,"43,595"
2017,Missouri,17.2,"53,506"
2017,Montana,14,"53,262"
2017,Nebraska,12.6,"59,913"
2017,Nevada,17.9,"57,932"
2017,New Hampshire,9.1,"73,638"
2017,New Jersey,13.1,"80,106"
2017,New Mexico,24.6,"47,086"
2017,New York,18.9,"64,783"
2017,North Carolina,19.6,"52,797"
2017,North Dakota,10.4,"62,400"
2017,Ohio,18.2,"54,077"
2017,Oklahoma,20.1,"50,051"
2017,Oregon,14.9,"60,123"
2017,Pennsylvania,15.7,"59,165"
2017,Rhode Island,17.1,"62,923"
2017,South Carolina,21.3,"50,675"
2017,South Dakota,15.2,"56,871"
2017,Tennessee,19.8,"51,319"
2017,Texas,19.9,"59,195"
2017,Utah,9.5,"68,395"
2017,Vermont,11.6,"58,271"
2017,Virginia,13.3,"71,518"
2017,Washington,13.4,"70,942"
2017,West Virginia,22.3,"43,238"
2017,Wisconsin,13.5,"59,300"
2017,Wyoming,12,61279
